Pic Name,number of horizontal rebars,number of vertical rebars,Total rebars
20191024_100109_Depth_64671.png,8,9,17
20190531_105600_Depth_5496.png,14,15,29
20190531_100248_Depth_14584.png,4,18,22
20191024_100019_Depth_63482.png,7,8,15
20191024_095044_Depth_47307.png,7,7,14
20190531_102916_Depth_1111.png,7,21,28
20190531_105339_Depth_872.png,6,28,34
20191024_095044_Depth_47363.png,7,7,14
20191024_10852_Depth_111951.png,4,11,15
20191024_10852_Depth_112026.png,4,11,15
20190531_100633_Depth_19328.png,4,6,10
20190531_105600_Depth_5554.png,12,13,25
20190531_100248_Depth_14504.png,4,17,21
20191024_095044_Depth_47333.png,7,7,14
20191024_10852_Depth_112014.png,4,11,15
20191024_100109_Depth_64628.png,8,9,17
20190531_105339_Depth_939.png,5,28,33
20190531_105600_Depth_5570.png,11,12,23
20191024_10852_Depth_111963.png,4,11,15
20190531_100725_Depth_20812.png,4,9,13
20190531_105600_Depth_5537.png,12,13,25
20191024_100109_Depth_64639.png,8,9,17
20190531_105600_Depth_5549.png,13,13,26
20191024_095044_Depth_47374.png,7,7,14
20191024_100109_Depth_64579.png,8,9,17
20191024_10852_Depth_112016.png,4,11,15
20191024_095044_Depth_47369.png,7,7,14
20191024_095044_Depth_47332.png,7,7,14
20190531_100725_Depth_20853.png,4,9,13
20191024_100109_Depth_64610.png,8,9,17
20190531_100248_Depth_14575.png,4,18,22
20190531_105339_Depth_877.png,6,29,35
20190531_105600_Depth_5173.png,12,12,24
20191024_095044_Depth_47402.png,7,7,14
20190531_100633_Depth_19296.png,4,7,11
20191024_095044_Depth_47274.png,7,7,14
20191024_10852_Depth_112062.png,4,11,15
20191024_100019_Depth_63418.png,7,8,15
20190531_103143_Depth_5447.png,8,30,38
20191024_10852_Depth_111984.png,4,11,15
20191024_10852_Depth_111975.png,4,11,15
20191024_10852_Depth_111985.png,4,11,15
20191024_095044_Depth_47404.png,7,7,14
20191024_100109_Depth_64575.png,8,9,17
20191024_10852_Depth_111978.png,4,11,15
20190531_100725_Depth_20887.png,4,9,13
20191024_100109_Depth_64650.png,8,9,17
20190531_105600_Depth_5509.png,14,15,29
20190531_103143_Depth_5503.png,7,30,37
20190531_103143_Depth_5470.png,8,30,38
20191024_100109_Depth_64687.png,8,9,17
20190531_100633_Depth_19259.png,4,4,8
20190531_102916_Depth_1052.png,7,21,28
20190531_100725_Depth_20872.png,4,10,14
